Year;Road Name;From Street;To Street;length_(m);PCI Rating;Geom;geo_point_2d
2020;47TH AV;FRONTENAC ST;KIRKLAND ST;89;GOOD;"{""coordinates"": [[-123.02596132078351, 49.22637767566639], [-123.02474197967585, 49.226372308631696], [-123.02473899109518, 49.22637230927175]], ""type"": ""LineString""}";49.22637498558873, -123.02535015595373
2020;62ND AV;LABURNUM ST;ANGUS DRIVE;206;VERY POOR;"{""coordinates"": [[-123.15124781549908, 49.21510334738945], [-123.14919401492438, 49.21507448447401], [-123.14841985087507, 49.215063590026546]], ""type"": ""LineString""}";49.215083474080224, -123.1498338331115
2020;29TH AV;ELGIN ST;ROSS ST;101;POOR;"{""coordinates"": [[-123.08272270544481, 49.24460941811726], [-123.0820357887121, 49.24460596262071], [-123.08134078642202, 49.244602476350124], [-123.08133507767916, 49.24460244888603]], ""type"": ""LineString""}";49.244605930447584, -123.08202889157728
2020;31ST AV;LANARK ST;DUMFRIES ST;93;VERY POOR;"{""coordinates"": [[-123.07483046938307, 49.243015846111724], [-123.074236054223, 49.24300387014456], [-123.07355613760629, 49.24299250689182], [-123.07355325922842, 49.242992453853496]], ""type"": ""LineString""}";49.243003606888095, -123.07419187431712
2020;53RD AV;KNIGHT ST;LANARK ST;100;VERY GOOD;"{""coordinates"": [[-123.07741967350125, 49.22179751624827], [-123.07673487159052, 49.22178998268277], [-123.07604657984962, 49.221782136118776]], ""type"": ""LineString""}";49.22178989465209, -123.07673312590855
2020;33RD AV;ONTARIO ST;JAMES ST;94;POOR;"{""coordinates"": [[-123.10535063967151, 49.24057473985158], [-123.10472365403011, 49.24056287668579], [-123.10442415046893, 49.240557365653075], [-123.10406727525553, 49.24055077123901], [-123.10405976976715, 49.240550629578266]], ""type"": ""LineString""}";49.24056261246982, -123.10470520606971
2020;CHARLES ST;RUPERT ST;CASSIAR ST;196;VERY POOR;"{""coordinates"": [[-123.03365001801724, 49.2732508977774], [-123.03364405856418, 49.27325089861327], [-123.03095556315938, 49.273247153457035]], ""type"": ""LineString""}";49.2732490301759, -123.03230279058548
2020;BRIDGEWAY;SKEENA ST;NORTHEAST END;172;GOOD;"{""coordinates"": [[-123.02860636631156, 49.290483867682795], [-123.02860277734263, 49.290484431668325], [-123.02838448362036, 49.29079593756624], [-123.02784134295892, 49.29122843920481], [-123.02714438166802, 49.291681019306296]], ""type"": ""LineString""}";49.291129683382856, -123.02791982577806
2020;3RD AV;NOOTKA ST;LILLOOET ST;184;VERY POOR;"{""coordinates"": [[-123.04151388934011, 49.267577938317864], [-123.03898472880536, 49.26756753756954]], ""type"": ""LineString""}";49.2675727379437, -123.04024930907273
2020;45TH AV;WILTSHIRE ST;MARGUERITE ST;116;VERY GOOD;"{""coordinates"": [[-123.14644958837027, 49.23071763202981], [-123.14565506759548, 49.23070532085952], [-123.14485976994862, 49.230693063668134], [-123.14485671504185, 49.230693018024965]], ""type"": ""LineString""}";49.230705307785534, -123.14565315197228
2020;26TH AV;MANITOBA ST;ONTARIO ST;178;POOR;"{""coordinates"": [[-123.10749160528513, 49.247796224028654], [-123.10504683238943, 49.24775050124659]], ""type"": ""LineString""}";49.24777336263762, -123.1062692188373
2020;ATLIN ST;27TH AV;25TH AV;181;FAIR;"{""coordinates"": [[-123.04585739943579, 49.24628156029772], [-123.04583697778864, 49.2479096411606]], ""type"": ""LineString""}";49.24709560072915, -123.04584718861221
