road_name,from_street,to_street,pci_rating,dist_to_water_m,humidity_proxy,pavement_risk,pci_missing,pavement_risk_adj,bearing_deg,sun_exposure,is_bridge,recent_moisture,temp_near_zero,black_ice_risk
47TH AV,FRONTENAC ST,KIRKLAND ST,GOOD,1601.9,0.041,0.3,0,0.3,90.40326078089203,0.5,0,1,1.0,0.366
62ND AV,LABURNUM ST,ANGUS DRIVE,VERY POOR,549.1,0.333,0.95,0,0.95,91.34284625610383,0.5,0,1,1.0,0.525
29TH AV,ELGIN ST,ROSS ST,POOR,1764.0,0.029,0.8,0,0.8,90.50165811955503,0.5,0,1,1.0,0.452
31ST AV,LANARK ST,DUMFRIES ST,VERY POOR,1512.9,0.049,0.95,0,0.95,91.65855358659951,0.5,0,1,1.0,0.482
53RD AV,KNIGHT ST,LANARK ST,VERY GOOD,1435.6,0.057,0.1,0,0.1,91.0378030552489,0.5,0,1,1.0,0.333
33RD AV,ONTARIO ST,JAMES ST,POOR,124.0,0.78,0.8,0,0.8,91.71327316795782,0.5,0,1,1.0,0.565
CHARLES ST,RUPERT ST,CASSIAR ST,VERY POOR,97.7,0.823,0.95,0,0.95,90.1461633552243,0.5,0,1,1.0,0.598
BRIDGEWAY,SKEENA ST,NORTHEAST END,GOOD,440.7,0.414,0.3,0,0.3,38.63838558437732,0.8,0,1,1.0,0.497
3RD AV,NOOTKA ST,LILLOOET ST,VERY POOR,736.5,0.229,0.95,0,0.95,90.39054876254721,0.5,0,1,1.0,0.509
45TH AV,WILTSHIRE ST,MARGUERITE ST,VERY GOOD,1009.5,0.133,0.1,0,0.1,91.46198927245689,0.5,0,1,1.0,0.344
26TH AV,MANITOBA ST,ONTARIO ST,POOR,513.6,0.358,0.8,0,0.8,91.71686834526565,0.5,0,1,1.0,0.502
ATLIN ST,27TH AV,25TH AV,FAIR,1022.6,0.129,0.5,0,0.5,0.5052225482241397,0.8,0,1,1.0,0.489
ALBERTA ST,44TH AV,43RD AV,FAIR,611.0,0.295,0.5,0,0.5,350.5468306373236,0.8,0,1,1.0,0.514
BIRCH ST,62ND AV,PARK DRIVE,VERY POOR,1348.4,0.067,0.95,0,0.95,1.0448336522680393,0.8,0,1,1.0,0.559
BURRARD ST,17TH AV,16TH AV,POOR,1273.0,0.078,0.8,0,0.8,1.4538821731827056,0.8,0,1,1.0,0.535
12TH AV,KAMLOOPS ST,PENTICTON ST,GOOD,254.3,0.601,0.3,0,0.3,89.9313803879038,0.5,0,1,1.0,0.45
CARNARVON ST,34TH AV,33RD AV,FAIR,1580.7,0.042,0.5,0,0.5,0.5092350801425596,0.8,0,1,1.0,0.476
14TH AV,YEW ST,ARBUTUS ST,FAIR,1597.8,0.041,0.5,0,0.5,91.4964879656784,0.5,0,1,1.0,0.401
